0, 0, 480, 160, -1, -1, -1, -1
1, 0.56217, 82, 159, -1, -1, -1, -1
2, 0.0159804, 422, 1863, -1, -1, -1, -1
3, 0.983137, 1729, 8475, 8.12136e+10, 2.73907e+07, 1, -1
7, 1.3207, 655, 3102, 41005.5, 23.5994, -1, -1
3, 0.00802843, 691, 3262, 326379, 474.119, 0, -1
6, 0.0918348, 11775, 56077, 326379, 89.0265, -1, -1
7, 1.23246, 4969, 23966, 9238.6, 4.49212, -1, -1
8, 0.155074, 4969, 23775, 37.8262, 3.79251, -1, -1
9, 0.569142, 4969, 23775, 14.9344, 3.5579, -1, -1
6, 0.0256648, 6875, 32829, 22.9339, 3.72923, -1, -1
7, 0.523618, 4996, 24296, 19.3358, 3.53584, -1, -1
8, 0.149197, 4996, 24260, 11.2548, 3.5285, -1, -1
9, 0.543616, 4996, 24260, 11.0476, 3.452, -1, -1
6, 0.0182266, 6090, 28966, 11.0476, 3.55501, -1, -1
7, 0.352038, 4976, 24159, 11.0476, 3.45341, -1, -1
8, 0.148232, 4976, 24158, 11.0476, 3.45174, -1, -1
9, 0.518355, 4976, 24158, 11.0476, 3.41988, -1, -1
6, 0.0179578, 6084, 29076, 11.0476, 3.54318, -1, -1
7, 0.314322, 5076, 24735, 7.45483, 3.43874, -1, -1
8, 0.16429, 5076, 24731, 7.45483, 3.43737, -1, -1
9, 0.557072, 5076, 24731, 7.45125, 3.41319, -1, -1
7, 0.0976949, 4996, 24358, 7.45125, 3.40897, -1, -1
4, 6.92532, 4996, 24358, 7.45125, 3.40897, -1, -1
5, 0.0928688, 1059, 4711, 7.45125, 3.48593, -1, -1
-1, 8.58751, 1059, 4711, 7.45125, 3.48593, 0, 142
